Month,Year,State,retail_revenue,internet_revenue,internet_handle,retail_handle,retail_hold,internet_hold,total_revenue,total_handle,internet_revenue_per,internet_handle_per,retail_revenue_per,retail_handle_per,total_hold
July,2020,IA,915583.0,1328431.0,17770140.0,5089484.0,0.179897019029827,0.07475636095157381,2244014.0,22859624.0,0.5919887309080959,0.7773592426542099,0.40801126909190405,0.2226407573457901,0.09816495669395087
July,2020,IN,697541.0,4116880.0,64545921.0,5993491.0,0.1163830895883551,0.06378218694873065,4814421.0,70539412.0,0.8551142494601116,0.915033442581007,0.1448857505398884,0.08496655741899295,0.06825150456315117
July,2019,NJ,3577642.6666666665,13476856.666666666,0.0,0.0,,,17054499.333333332,0.0,0.7902229437088136,,0.20977705629118634,,
July,2020,NJ,2609116.0,26942871.0,0.0,0.0,,,29551987.0,0.0,0.911710979028246,,0.08828902097175395,,
July,2019,PA,2186340.0,665799.0,38998647.0,20333311.0,0.10752503613405608,0.017072361510387782,2852139.0,59331958.0,0.2334384824863024,0.6572958033847459,0.7665615175136976,0.34270419661525414,0.04807087269899301
July,2020,PA,959007.6666666667,6074311.0,143792330.5,7762113.5,0.12354981238894107,0.042243636909410825,7033318.666666667,151554444.0,0.8636479147160306,0.9487833329387556,0.1363520852839693,0.05121666706124434,0.046407868228969036
July,2019,WV,684952.0,-2739.0,0.0,5851318.0,0.11705943857435197,,682213.0,5851318.0,-0.0040148751196473825,0.0,1.0040148751196474,1.0,0.11659133890860145
July,2020,WV,437876.0,774801.0,7791116.0,2593705.0,0.16882259162086669,0.09944672881266303,1212677.0,10384821.0,0.6389178651858657,0.7502407600477659,0.36108213481413437,0.24975923995223412,0.11677399157867045
August,2020,IA,1365360.0,1638544.0,34993352.0,15320323.0,0.08912083642100757,0.0468244368244574,3003904.0,50313675.0,0.5454714930969832,0.6955037969299599,0.4545285069030169,0.3044962030700401,0.05970352990514011
August,2020,IL,1198105.38,5711600.580000004,123323299.32000001,16008565.98,0.0748415180658174,0.046314042938305676,6909705.960000004,139331865.3,0.8266054464638899,0.8851047752390924,0.17339455353611014,0.11489522476090758,0.049591713604942335
August,2020,IN,2178929.0,10016090.0,143900567.0,20163026.0,0.10806557507786778,0.06960424276855004,12195019.0,164063593.0,0.8213263136367397,0.877102374565209,0.17867368636326028,0.122897625434791,0.07433104918042359
August,2018,NJ,2815068.333333334,1143060.3333333335,0.0,0.0,,,3958128.6666666674,0.0,0.2887880687051945,,0.7112119312948055,,
August,2019,NJ,6009951.0,19200391.0,0.0,0.0,,,25210342.0,0.0,0.7616077163887741,,0.2383922836112259,,
August,2020,NJ,5179472.0,34327709.0,0.0,0.0,,,39507181.0,0.0,0.8688979606011373,,0.1311020393988627,,
August,2019,PA,3574816.0,2540199.0,83209317.0,25828734.0,0.13840461557271835,0.030527819378688086,6115015.0,109038051.0,0.41540355992585465,0.7631218298280111,0.5845964400741454,0.23687817017198887,0.05608147746514655
August,2020,PA,1912247.3333333335,14186604.0,301910993.0,33361358.0,0.05731922943104815,0.046989358880350544,16098851.333333334,335272351.0,0.8812183991429284,0.9004947532938676,0.11878160085707151,0.09950524670613235,0.04801723519794012
August,2019,WV,1524550.0,25035.0,825645.0,11831268.0,0.1288577014737558,0.03032174845121087,1549585.0,12656913.0,0.016155938525476175,0.0652327309194588,0.9838440614745239,0.9347672690805412,0.12242993216434371
August,2020,WV,1131381.0,1205850.0,34490069.0,11406934.0,0.09918361936695698,0.034962237970588,2337231.0,45897003.0,0.5159310312074417,0.751466691626902,0.4840689687925584,0.24853330837309792,0.050923390357318105
September,2020,IA,915583.0,1328431.0,17770140.0,5089484.0,0.179897019029827,0.07475636095157381,2244014.0,22859624.0,0.5919887309080959,0.7773592426542099,0.40801126909190405,0.2226407573457901,0.09816495669395087
September,2020,IL,1458631.5099999974,4801699.030000005,278167283.01,21562456.25,0.0676468159790468,0.017261911530506577,6260330.540000003,299729739.26,0.7670040741970156,0.9280603376120256,0.2329959258029843,0.07193966238797442,0.020886584545984913
September,2020,IN,2954796.0,7437810.0,173170391.0,28472633.0,0.10377670375619985,0.04295081830703957,10392606.0,201643024.0,0.7156828614497653,0.858796835937156,0.28431713855023466,0.14120316406284406,0.051539625789385105
September,2018,NJ,5927571.0,4753548.999999999,0.0,0.0,,,10681120.0,0.0,0.4450421865871743,,0.5549578134128256,,
