Name,Freq,Month,Year,Date,State,url_1,url_2,url_3,internet_revenue,retail_revenue,internet_handle,retail_handle,internet_promo,tier_1_internet_wagers,tier_1_internet_handle,tier_1_internet_revenue,tier_2_internet_wagers,tier_2_internet_handle,tier_2_internet_revenue,tier_1_retail_wagers,tier_1_retail_handle,tier_1_retail_revenue,tier_2_retail_wagers,tier_2_retail_handle,tier_2_retail_revenue,internet_hold,retail_hold,retail_betsize,internet_betsize
Tropicana Evansville,Monthly,1,2020,2020-01,IN,none,,,,210974.0,,1999848.0,,,,,,,,,,,,,,,0.10549501762133923,,
Harrah's Hoosier Park,Monthly,1,2020,2020-01,IN,none,,,,92545.0,,1653875.0,,,,,,,,,,,,,,,0.05595646587559519,,
Indiana Grand,Monthly,1,2020,2020-01,IN,none,,,,160491.0,,2335895.0,,,,,,,,,,,,,,,0.06870642730088466,,
Ameristar Casino,Monthly,7,2020,2020-07,IN,none,,,,230965.0,,1158081.0,,,,,,,,,,,,,,,0.19943769045515813,,
Blue Chip Casino,Monthly,7,2020,2020-07,IN,none,,,,55799.0,,246397.0,,,,,,,,,,,,,,,0.2264597377403134,,
Horseshoe Hammond,Monthly,7,2020,2020-07,IN,none,,,,15352.0,,757628.0,,,,,,,,,,,,,,,0.020263242646787076,,
Belterra Casino,Monthly,7,2020,2020-07,IN,none,,,,-18008.0,,125030.0,,,,,,,,,,,,,,,-0.14402943293609533,,
Caesars Southern Indiana,Monthly,7,2020,2020-07,IN,none,,,,41790.0,,420658.0,,,,,,,,,,,,,,,0.09934436050188039,,
French Lick Resort,Monthly,7,2020,2020-07,IN,none,,,,1751.0,,33736.0,,,,,,,,,,,,,,,0.051903011619634815,,
Hollywood Lawrenceburg,Monthly,7,2020,2020-07,IN,none,,,,413420.0,,2685581.0,,,,,,,,,,,,,,,0.15394061843601067,,
Rising Star Casino,Monthly,7,2020,2020-07,IN,none,,,,1309.0,,52826.0,,,,,,,,,,,,,,,0.02477946465755499,,
Tropicana Evansville,Monthly,7,2020,2020-07,IN,none,,,,-74479.0,,292118.0,,,,,,,,,,,,,,,-0.25496203588960625,,
Harrah's Hoosier Park,Monthly,7,2020,2020-07,IN,none,,,,17036.0,,65996.0,,,,,,,,,,,,,,,0.25813685677919873,,
Indiana Grand,Monthly,7,2020,2020-07,IN,none,,,,12606.0,,155440.0,,,,,,,,,,,,,,,0.08109881626351004,,
Ameristar Casino,Monthly,6,2020,2020-06,IN,none,,,,-60108.0,,190921.0,,,,,,,,,,,,,,,-0.3148317890645869,,
Blue Chip Casino,Monthly,6,2020,2020-06,IN,none,,,,-43349.0,,33171.0,,,,,,,,,,,,,,,-1.3068342829580055,,
Horseshoe Hammond,Monthly,6,2020,2020-06,IN,none,,,,-30844.0,,21502.0,,,,,,,,,,,,,,,-1.434471211980281,,
Belterra Casino,Monthly,6,2020,2020-06,IN,none,,,,-11798.0,,17087.0,,,,,,,,,,,,,,,-0.6904664364721719,,
Caesars Southern Indiana,Monthly,6,2020,2020-06,IN,none,,,,-31629.0,,0.0,,,,,,,,,,,,,,,,,
French Lick Resort,Monthly,6,2020,2020-06,IN,none,,,,-154.0,,13118.0,,,,,,,,,,,,,,,-0.011739594450373533,,
Hollywood Lawrenceburg,Monthly,6,2020,2020-06,IN,none,,,,-35912.0,,323968.0,,,,,,,,,,,,,,,-0.1108504543658633,,
Rising Star Casino,Monthly,6,2020,2020-06,IN,none,,,,-1200.0,,6172.0,,,,,,,,,,,,,,,-0.19442644199611148,,
Tropicana Evansville,Monthly,6,2020,2020-06,IN,none,,,,-2847.0,,28547.0,,,,,,,,,,,,,,,-0.09973026938032017,,
Harrah's Hoosier Park,Monthly,6,2020,2020-06,IN,none,,,,-4725.0,,0.0,,,,,,,,,,,,,,,,,
